	sample_id	prompt_source	position_source	prompt_target	position_target	baseline_hop2	baseline_hop3	baseline_multihop3	hop1	hop2	hop3	generations_baseline_hop2	is_correct_baseline_hop2	generations_baseline_hop3	is_correct_baseline_hop3	generations_baseline_multihop3	is_correct_baseline_multihop3	layer_source	layer_target	generations_patched	is_correct_patched	hidden_rep	object_int	predicted_int	predicted	is_correct_probe
174	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	31	8	['Google' '?' '\n' 'a' ')' 'Larry' 'Page' '\n' 'b' ')']	False	[-3.748   0.45   -0.6626 ... -0.664  -0.984  -1.276 ]	173	173	Sundar Pichai	True
182	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	15	8	['the' 'company' '?' '\n' '\n' 'a' '.' 'John' 'Smith' '\n']	False	[ 0.746   -0.4985   0.03308 ... -0.03314  0.3188  -0.437  ]	173	173	Sundar Pichai	True
205	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	26	30	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 1.308   0.1382  0.648  ...  0.2427  0.9253 -1.569 ]	181	181	Tim Cook	True
206	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	26	19	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[-0.06006 -2.469   -1.362   ... -2.807   -2.01    -1.918  ]	173	173	Sundar Pichai	True
250	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	10	31	['way' 'ne' '?' '\n' '\n' 'The' 'current' 'CE' 'O' 'of']	False	[ 0.1769   -0.707     0.405    ... -0.2465   -0.003662  0.1666  ]	181	181	Tim Cook	True
254	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	19	26	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 1.275   0.2087  0.4907 ...  1.279   0.667  -1.184 ]	181	181	Tim Cook	True
278	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	15	6	['the' 'company' '?' '\n' '\n' 'A' '.' 'John' 'Smith' '\n']	False	[ 0.746   -0.4985   0.03308 ... -0.03314  0.3188  -0.437  ]	173	173	Sundar Pichai	True
294	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	7	20	['?' '\n' '\n' 'A' '.' 'Mark' 'Z' 'ucker' 'berg' '\n']	False	[-0.0575   -0.5117    0.005005 ... -0.1611   -0.2207    0.0473  ]	173	173	Sundar Pichai	True
303	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	27	16	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[ 0.0597 -1.531  -0.2637 ... -1.836  -2.992  -2.13  ]	173	173	Sundar Pichai	True
362	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	22	15	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 0.7427 -0.2327  0.9863 ...  0.666   0.746  -1.772 ]	181	181	Tim Cook	True
369	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	17	31	['means' 'that' 'the' 'current' 'CE' 'O' 'of' '{}' 'is' '{}']	False	[ 1.009   -0.0897  -0.05762 ... -0.5747  -0.5283  -0.3318 ]	173	173	Sundar Pichai	True
415	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	16	6	['?' '\n' '\n' 'Answer' ':' 'The' 'current' 'CE' 'O' 'of']	False	[ 1.108   0.2559 -0.1238 ...  0.473   0.549  -0.2432]	181	181	Tim Cook	True
423	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	17	21	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 1.442   0.79   -0.2118 ...  1.524   0.5713 -0.66  ]	181	181	Tim Cook	True
428	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	25	3	['Apple' '?' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B' '.']	True	[ 1.593   0.708   0.657  ...  0.4348  0.889  -1.474 ]	181	181	Tim Cook	True
438	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	7	22	['?' '\n' '\n' 'A' '.' 'Mark' 'Z' 'ucker' 'berg' '\n']	False	[ 0.06714 -0.4595   0.1068  ... -0.1273  -0.1498   0.1533 ]	181	181	Tim Cook	True
444	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	17	7	['the' 'company' '?' '\n' '\n' 'a' '.' 'John' 'Smith' '\n']	False	[ 1.009   -0.0897  -0.05762 ... -0.5747  -0.5283  -0.3318 ]	173	173	Sundar Pichai	True
500	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	13	11	['?' '\n' '\n' 'A' '.' 'Sund' 'ar' 'P' 'ich' 'ai']	False	[ 0.79    -0.0846   0.0365  ...  0.0725   0.2708   0.03284]	181	181	Tim Cook	True
502	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	19	16	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[ 0.4497 -0.2876  0.0279 ... -1.038  -1.915  -0.9277]	173	173	Sundar Pichai	True
511	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	16	24	['the' 'company' '?' '\n' '\n' 'a' '.' 'John' 'Smith' '\n']	False	[ 1.108   0.2559 -0.1238 ...  0.473   0.549  -0.2432]	181	181	Tim Cook	True
513	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	1	31	['pass' '?' '\n' '\n' 'Answer' ':' 'As' 'of' 'September' '']	False	[ 0.0806    0.001469 -0.03073  ... -0.073     0.08203  -0.0427  ]	181	173	Sundar Pichai	False
524	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	0	19	['Y' 'acht' '?' '\n' '\n' 'A' '.' 'John' 'Smith' '\n']	False	[ 0.02513  -0.03009   0.004974 ... -0.0638    0.06213  -0.02997 ]	181	181	Tim Cook	True
546	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	16	9	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[ 0.9194  -0.2932   0.3596  ... -0.01807 -0.02026 -0.4668 ]	173	173	Sundar Pichai	True
563	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	26	13	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[-0.06006 -2.469   -1.362   ... -2.807   -2.01    -1.918  ]	173	173	Sundar Pichai	True
660	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	6	17	['the' 'company' '?' '\n' '\n' 'a' '.' 'John' 'Smith' '\n']	False	[-0.09937 -0.3372  -0.01624 ... -0.0818  -0.12274  0.2108 ]	173	173	Sundar Pichai	True
670	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	25	10	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[ 0.572 -2.865 -0.392 ... -3.672 -1.505 -1.484]	173	173	Sundar Pichai	True
672	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	23	29	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 1.041  -0.1648  1.112  ...  0.7324  0.76   -2.262 ]	181	181	Tim Cook	True
717	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	27	16	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 0.7754  0.4417  0.8467 ...  0.867   0.7344 -2.148 ]	181	181	Tim Cook	True
719	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	19	14	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 1.275   0.2087  0.4907 ...  1.279   0.667  -1.184 ]	181	181	Tim Cook	True
729	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	23	30	['Apple' '?' '\n' '\n' 'A' '.' 'Tim' 'Cook' '\n' 'B']	True	[ 1.041  -0.1648  1.112  ...  0.7324  0.76   -2.262 ]	181	181	Tim Cook	True
745	35	WebP Lossless was created by	-1	Who is the current CEO of {}	-1	WebP Lossless was created by	Who is the current CEO of Google	Who is the current CEO of the company that created WebP Lossless	WebP Lossless	Google	Sundar Pichai	Google in  2 0 1 3 as a new image format that uses advanced compression algorithms to reduce the	True	"? 
 
 a ) Sund ar P ich ai 
 b ) Larry Page 
 c ) Eric Schmidt"	True	"Image Format ? 
 
 As of  2 0 2 1 , the CE O of the company that"	False	28	19	['Google' '?' '\n' '\n' 'a' '.' 'Sund' 'ar' 'P' 'ich']	False	[ 0.2432 -1.068   0.1882 ... -1.595  -3.451  -0.795 ]	173	173	Sundar Pichai	True
790	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	17	6	['?' '\n' '\n' 'Answer' ':' 'The' 'current' 'CE' 'O' 'of']	False	[ 1.442   0.79   -0.2118 ...  1.524   0.5713 -0.66  ]	181	181	Tim Cook	True
799	29	Macbook Pro was created by	-1	Who is the current CEO of {}	-1	Macbook Pro was created by	Who is the current CEO of Apple	Who is the current CEO of the company that created Macbook Pro	Macbook Pro	Apple	Tim Cook	Apple to be a high - per formance laptop that can handle heavy - d ut y tasks such as	True	"? 
 
 a ) Tim Cook 
 b ) Steve Job s 
 c ) Mark Z ucker berg"	True	"? 
 
 As of  2 0 2 1 , the CE O of Apple Inc . is Tim"	False	2	22	['.' 'The' 'CE' 'O' 'of' 'is' 'a' 'person' 'who' 'is']	False	[ 0.068    0.02856  0.0924  ... -0.0829   0.07996 -0.0153 ]	181	181	Tim Cook	True
