company_1,ceo_1,company_2,ceo_2,answer
Alphabet,Sundar Pichai,Panasonic Corporation,Kazuhiro Tsuga,Alphabet
Alphabet,Sundar Pichai,General Electric,H. Lawrence Culp Jr.,Alphabet
Alphabet,Sundar Pichai,Unilever,Alan Jope,Alan Jope
Alphabet,Sundar Pichai,Adobe,Shantanu Narayen,Alphabet
Alphabet,Sundar Pichai,General Motors,Mary Barra,Alphabet
Alphabet,Sundar Pichai,Procter & Gamble,Jon Moeller,Alphabet
Alphabet,Sundar Pichai,Auckland Airport,Simon Moutter,Alphabet
Alphabet,Sundar Pichai,eBay,Jamie Iannone,Alphabet
Alphabet,Sundar Pichai,Lufthansa,Carsten Spohr,Alphabet
Alphabet,Sundar Pichai,BMW,Oliver Zipse,Alphabet
Alphabet,Sundar Pichai,Johnson & Johnson,Alex Gorsky,Alex Gorsky
Alphabet,Sundar Pichai,Orly Airport,Régis Lacote,Alphabet
Alphabet,Sundar Pichai,PepsiCo,Ramon Laguarta,Alphabet
Alphabet,Sundar Pichai,National Institutes of Health,Lawrence A. Tabak,Alphabet
Alphabet,Sundar Pichai,Shell,Wael Sawan,Alphabet
Alphabet,Sundar Pichai,Radio Free Europe/Radio Liberty,Jamie Fly,Alphabet
Alphabet,Sundar Pichai,Yandex,Arkady Volozh,Alphabet
Alphabet,Sundar Pichai,Starbucks,Kevin Johnson,Alphabet
Alphabet,Sundar Pichai,ExxonMobil,Darren Woods,Alphabet
Alphabet,Sundar Pichai,Bank of America,Brian Moynihan,Alphabet
Alphabet,Sundar Pichai,Bayer,Werner Baumann,Alphabet
Alphabet,Sundar Pichai,ČEZ Group,Daniel Beneš,Alphabet
Alphabet,Sundar Pichai,Gazprom,Alexey Miller,Alexey Miller
Alphabet,Sundar Pichai,Pfizer,Albert Bourla,Albert Bourla
Alphabet,Sundar Pichai,American Airlines,Doug Parker,Alphabet
Alphabet,Sundar Pichai,Deutsche Post AG,Frank Appel,Alphabet
Alphabet,Sundar Pichai,Nvidia,Jen-Hsun Huang,Alphabet
Alphabet,Sundar Pichai,DuPont,Charles O. Holliday,Alphabet
Alphabet,Sundar Pichai,Porsche,Oliver Blume,Alphabet
Alphabet,Sundar Pichai,BASF,Martin Brudermüller,Alphabet
Alphabet,Sundar Pichai,AMD,Lisa Su,Alphabet
Alphabet,Sundar Pichai,Nissan,Makoto Uchida,Alphabet
Alphabet,Sundar Pichai,Kodak,Jeff Clarke,Alphabet
Alphabet,Sundar Pichai,Nike,John Donahoe,Alphabet
Alphabet,Sundar Pichai,Vinci,Xavier Huillard,Alphabet
Alphabet,Sundar Pichai,RWE,Rolf Martin Schmitz,Alphabet
Alphabet,Sundar Pichai,Alphabet Inc.,Sundar Pichai,Alphabet
Alphabet,Sundar Pichai,West Japan Railway Company,Kazuaki Hasegawa,Alphabet
Alphabet,Sundar Pichai,Lockheed Martin,Marillyn Hewson,Alphabet
Alphabet,Sundar Pichai,British Airways,Álex Cruz,Alphabet
Alphabet,Sundar Pichai,American Library Association,Tracie D. Hall,Alphabet
Alphabet,Sundar Pichai,Czech Airlines,Petr Kudela,Alphabet
Alphabet,Sundar Pichai,Southwest Airlines,Bob Jordan,Alphabet
Alphabet,Sundar Pichai,HSBC,Stuart Gulliver,Alphabet
Alphabet,Sundar Pichai,Warner Bros.,Barry Meyer,Alphabet
Alphabet,Sundar Pichai,Verizon,Hans Vestberg,Alphabet
Alphabet,Sundar Pichai,Agrofert,Zbyněk Průša,Alphabet
Alphabet,Sundar Pichai,Berkshire Hathaway,Warren Buffett,Alphabet
Alphabet,Sundar Pichai,JPMorgan Chase,Jamie Dimon,Alphabet
Alphabet,Sundar Pichai,L’Oréal,Nicolas Hieronimus,Alphabet
Alphabet,Sundar Pichai,Russian Railways,Oleg Belozyorov,Alphabet
Alphabet,Sundar Pichai,Citigroup,Jane Fraser,Alphabet
Alphabet,Sundar Pichai,Society of Jesus,Arturo Sosa Abascal,Alphabet
Alphabet,Sundar Pichai,Xiaomi,Lei Jun,Alphabet
Alphabet,Sundar Pichai,Central Japan Railway Company,Shin Kaneko,Alphabet
Alphabet,Sundar Pichai,Northrop Grumman,Kathy J. Warden,Alphabet
Alphabet,Sundar Pichai,Hewlett Packard Enterprise,Antonio Neri,Alphabet
Alphabet,Sundar Pichai,Toulouse-Blagnac,Philippe Crébassa,Alphabet
Alphabet,Sundar Pichai,Universal Music Group,Lucian Grainge,Alphabet
Alphabet,Sundar Pichai,Tencent,Ma Huateng,Alphabet
Alphabet,Sundar Pichai,Salesforce,Marc Benioff,Alphabet
Alphabet,Sundar Pichai,Caterpillar Inc.,Jim Umpleby,Alphabet
Alphabet,Sundar Pichai,United Parcel Service,David Abney,Alphabet
Alphabet,Sundar Pichai,PayPal,Dan Schulman,Alphabet
Alphabet,Sundar Pichai,Toyota,Akio Toyoda,Akio Toyoda
Alphabet,Sundar Pichai,Vodafone,Nick Read,Alphabet
Alphabet,Sundar Pichai,SoftBank Group,Masayoshi Son,Alphabet
Alphabet,Sundar Pichai,Air Liquide,Benoît Potier,Alphabet
Alphabet,Sundar Pichai,Visa Inc.,Alfred F. Kelly,Alfred F. Kelly
Alphabet,Sundar Pichai,Klinikum Ernst von Bergmann,Dorothea Fischer,Alphabet
Alphabet,Sundar Pichai,Air France,Frédéric Gagey,Alphabet
Alphabet,Sundar Pichai,Sanofi,Olivier Brandicourt,Alphabet
Alphabet,Sundar Pichai,Goldman Sachs & Co. (US),David M. Solomon,Alphabet
Alphabet,Sundar Pichai,BP,Bernard Looney,Alphabet
Alphabet,Sundar Pichai,Schneider Electric,Jean-Pascal Tricoire,Alphabet
Alphabet,Sundar Pichai,Continental AG,Elmar Degenhart,Alphabet
Alphabet,Sundar Pichai,Energetický a průmyslový holding,Daniel Křetínský,Alphabet
Alphabet,Sundar Pichai,American Express,Stephen Squeri,Alphabet
Alphabet,Sundar Pichai,Institute of Biological Sciences,André Le Bivic,Alphabet
Alphabet,Sundar Pichai,FedEx,Raj Subramaniam,Alphabet
Alphabet,Sundar Pichai,General Dynamics,Phebe Novakovic,Alphabet
Alphabet,Sundar Pichai,Warner Music Group,Stephen Cooper,Alphabet
Alphabet,Sundar Pichai,BNP Paribas,Jean-Laurent Bonnafé,Alphabet
Alphabet,Sundar Pichai,Juniper Networks,Rami Rahim,Alphabet
Alphabet,Sundar Pichai,Alliance '90/The Greens,Emily Büning,Alphabet
Alphabet,Sundar Pichai,Audi,Markus Duesmann,Alphabet
Alphabet,Sundar Pichai,U.S. Steel,David Burritt,Alphabet
Alphabet,Sundar Pichai,AstraZeneca,Pascal Soriot,Alphabet
Alphabet,Sundar Pichai,Target Corporation,Brian Cornell,Alphabet
Alphabet,Sundar Pichai,Česká spořitelna,Tomáš Salomon,Alphabet
Alphabet,Sundar Pichai,STMicroelectronics,Jean-Marc Chéry,Alphabet
Alphabet,Sundar Pichai,Brussels Airport,Arnaud Feist,Alphabet
Alphabet,Sundar Pichai,Aspen Institute,Daniel R. Porterfield,Alphabet
Alphabet,Sundar Pichai,Christian Social Union of Bavaria,Hans Michael Strepp,Alphabet
Alphabet,Sundar Pichai,World Wide Fund for Nature,Marco Lambertini,Alphabet
Alphabet,Sundar Pichai,Morgan Stanley,James P. Gorman,Alphabet
Alphabet,Sundar Pichai,Globcal International,David J. Wright,Alphabet
Alphabet,Sundar Pichai,Abbott Laboratories,Robert B. Ford,Alphabet
Alphabet,Sundar Pichai,Qualcomm Inc.,Cristiano Amon,Alphabet
Alphabet,Sundar Pichai,Maersk,Søren Skou,Alphabet
Alphabet,Sundar Pichai,Bertelsmann,Thomas Rabe,Alphabet
Alphabet,Sundar Pichai,University of Leeds,Alan Langlands,Alan Langlands
Alphabet,Sundar Pichai,LinkedIn,Ryan Roslansky,Alphabet
Alphabet,Sundar Pichai,Thales Group,Patrice Caine,Alphabet
Alphabet,Sundar Pichai,The Home Depot,Craig Menear,Alphabet
Alphabet,Sundar Pichai,Gilead Sciences,Daniel O'Day,Alphabet
Alphabet,Sundar Pichai,Wells Fargo,Charlie Scharf,Alphabet
Alphabet,Sundar Pichai,Deere & Company,Charles Deere Wiman,Alphabet
Alphabet,Sundar Pichai,Saudi Aramco,Amin H. Al-Nasser,Alphabet
Alphabet,Sundar Pichai,Chevron Corporation,Mike Wirth,Alphabet
Alphabet,Sundar Pichai,ArcelorMittal,Aditya Mittal,Aditya Mittal
Alphabet,Sundar Pichai,HP Inc.,Dion Weisler,Alphabet
Alphabet,Sundar Pichai,Airbus Group,Guillaume Faury,Alphabet
Alphabet,Sundar Pichai,Accor,Sven Boinet,Alphabet
Alphabet,Sundar Pichai,Adidas AG,Bjørn Gulden,Alphabet
Alphabet,Sundar Pichai,O2 Czech Republic,Jindřich Fremuth,Alphabet
Alphabet,Sundar Pichai,Toshiba,Nobuaki Kurumatani,Alphabet
Alphabet,Sundar Pichai,The Salvation Army,Brian Peddle,Alphabet
Alphabet,Sundar Pichai,The Lego Group,Niels B. Christiansen,Alphabet
Alphabet,Sundar Pichai,SAP,Jennifer Morgan,Alphabet
Alphabet,Sundar Pichai,Qantas,Alan Joyce,Alan Joyce
Alphabet,Sundar Pichai,Électricité de France,Jean-Bernard Lévy,Alphabet
Alphabet,Sundar Pichai,Ericsson,Börje Ekholm,Alphabet
Alphabet,Sundar Pichai,Major League Soccer,Don Garber,Alphabet
Alphabet,Sundar Pichai,Costco,W. Craig Jelinek,Alphabet
Alphabet,Sundar Pichai,Merck & Co.,Kenneth Frazier,Alphabet
Alphabet,Sundar Pichai,Airbus,Guillaume Faury,Alphabet
Alphabet,Sundar Pichai,Cloudflare,Matthew Prince,Alphabet
Alphabet,Sundar Pichai,Allwyn International,Robert Chvátal,Alphabet
Alphabet,Sundar Pichai,Vivendi,Yannick Bolloré,Alphabet
Alphabet,Sundar Pichai,Mastercard,Ajaypal Singh Banga,Ajaypal Singh Banga
Alphabet,Sundar Pichai,Valeo,Jacques Aschenbroich,Alphabet
Alphabet,Sundar Pichai,Naturschutzbund Deutschland,Susanne Baumann,Alphabet
Alphabet,Sundar Pichai,British Council,Ciarán Devane,Alphabet
Alphabet,Sundar Pichai,Philip Morris International,Jacek Olczak,Alphabet
Alphabet,Sundar Pichai,Rheinmetall AG,Armin Papperger,Alphabet
Alphabet,Sundar Pichai,FC Bayern Munich,Herbert Hainer,Alphabet
Alphabet,Sundar Pichai,Mapbox,Peter Sirota,Alphabet
Alphabet,Sundar Pichai,Alibaba Group,Daniel Zhang,Alphabet
Alphabet,Sundar Pichai,České dráhy,Michal Krapinec,Alphabet
Alphabet,Sundar Pichai,Activision Blizzard,Bobby Kotick,Alphabet
Alphabet,Sundar Pichai,KLM,Pieter Elbers,Alphabet
Alphabet,Sundar Pichai,Comcast,Brian L. Roberts,Alphabet
Alphabet,Sundar Pichai,DR,Maria Rørbye Rønn,Alphabet
Alphabet,Sundar Pichai,Paramount Global,Robert Bakish,Alphabet
Alphabet,Sundar Pichai,Accenture,Julie Sweet,Alphabet
Alphabet,Sundar Pichai,Channel One Russia,Konstantin Ernst,Alphabet
Alphabet,Sundar Pichai,AOL,Tim Armstrong,Alphabet
Alphabet,Sundar Pichai,CVS Health,Larry Merlo,Alphabet
Alphabet,Sundar Pichai,SpaceX,Elon Musk,Alphabet
Alphabet,Sundar Pichai,Finnair,Pekka Vauramo,Alphabet
Alphabet,Sundar Pichai,Kroger,Rodney McMullen,Alphabet
Alphabet,Sundar Pichai,Colgate-Palmolive Company,Ian M. Cook,Alphabet
Alphabet,Sundar Pichai,ConocoPhillips,Ryan Lance,Alphabet
Alphabet,Sundar Pichai,Lenovo,Yang Yuanqing,Alphabet
Alphabet,Sundar Pichai,Kering,François-Henri Pinault,Alphabet
Alphabet,Sundar Pichai,"Honeywell International, Inc.",Darius Adamczyk,Alphabet
Alphabet,Sundar Pichai,Viacom,Robert Bakish,Alphabet
Alphabet,Sundar Pichai,Honda,Takahiro Hachigō,Alphabet
Alphabet,Sundar Pichai,Sberbank of Russia,Herman Gref,Alphabet
Alphabet,Sundar Pichai,Chartered Institute of Library and Information Professionals,Nick Poole,Alphabet
Alphabet,Sundar Pichai,Kyushu Railway Company,Yōji Furumiya,Alphabet
Alphabet,Sundar Pichai,Heineken,Freddy Heineken,Alphabet
Alphabet,Sundar Pichai,Amazon Web Services,Andy Jassy,Alphabet
Alphabet,Sundar Pichai,Paramount Pictures,Jim Gianopulos,Alphabet
Alphabet,Sundar Pichai,Nortel,Mike S. Zafirovski,Alphabet
Alphabet,Sundar Pichai,Mondelez International,Dirk Van de Put,Alphabet
Alphabet,Sundar Pichai,United Airlines,Scott Kirby,Alphabet
Alphabet,Sundar Pichai,Institute of Human and Social Sciences,Marie Gaille,Alphabet
Alphabet,Sundar Pichai,Ferrari S.p.A.,Benedetto Vigna,Alphabet
Alphabet,Sundar Pichai,H&M,Karl-Johan Persson,Alphabet
Alphabet,Sundar Pichai,Hokkaido Railway Company,Yasuyuki Watanuki,Alphabet
Alphabet,Sundar Pichai,Dassault Systèmes,Bernard Charlès,Alphabet
Alphabet,Sundar Pichai,Kimberly-Clark,Thomas J. Falk,Alphabet
Alphabet,Sundar Pichai,Eli Lilly and Company,David A. Ricks,Alphabet
Alphabet,Sundar Pichai,Hitachi,Toshiaki Higashihara,Alphabet
Alphabet,Sundar Pichai,Škoda Transportation,Petr Brzezina,Alphabet
Alphabet,Sundar Pichai,Bristol-Myers Squibb,Giovanni Caforio,Alphabet
Alphabet,Sundar Pichai,University of Gothenburg,Pam Fredman,Alphabet
Alphabet,Sundar Pichai,Seagate Technology,Stephen J. Luczo,Alphabet
Alphabet,Sundar Pichai,Lukoil,Vagit Alekperov,Alphabet
Alphabet,Sundar Pichai,Československá obchodní banka,Aleš Blažek,Aleš Blažek
Alphabet,Sundar Pichai,International Telecommunication Union,Houlin Zhao,Alphabet
Alphabet,Sundar Pichai,Médecins Sans Frontières,Christos Christou,Alphabet
Alphabet,Sundar Pichai,Capgemini,Paul Hermelin,Alphabet
Alphabet,Sundar Pichai,GitHub,Nat Friedman,Alphabet
Alphabet,Sundar Pichai,Netgear,Patrick Lo,Alphabet
Alphabet,Sundar Pichai,ABB Group,Ulrich Spiesshofer,Alphabet
Alphabet,Sundar Pichai,Komerční banka,Jan Juchelka,Alphabet
Alphabet,Sundar Pichai,Electrolux,Jonas Samuelson,Alphabet
Alphabet,Sundar Pichai,Bell Resources,Mark Avery,Alphabet
Alphabet,Sundar Pichai,TIM Group,Salvatore Rossi,Alphabet
Alphabet,Sundar Pichai,Novartis,Joseph Jimenez,Alphabet
Alphabet,Sundar Pichai,Yum! Brands,Greg Creed,Alphabet
Alphabet,Sundar Pichai,GlaxoSmithKline,Emma Walmsley,Alphabet
Alphabet,Sundar Pichai,Solvay,Ilham Kadri,Alphabet
Alphabet,Sundar Pichai,METRO AG,Steffen Greubel,Alphabet
Alphabet,Sundar Pichai,Infineon Technologies,Jochen Hanebeck,Alphabet
Alphabet,Sundar Pichai,BlackRock,Larry Fink,Alphabet
Alphabet,Sundar Pichai,Food and Agriculture Organization,Mohammed Shia' Al Sudani,Alphabet
Alphabet,Sundar Pichai,Simon & Schuster,Richard E. Snyder,Alphabet
Alphabet,Sundar Pichai,Best Buy,Hubert Joly,Alphabet
Alphabet,Sundar Pichai,Humana,Bruce Broussard,Alphabet
Alphabet,Sundar Pichai,GMV Innovating Solutions,Jesús Serrano Martínez,Alphabet
Alphabet,Sundar Pichai,T-Mobile US,Mike Sievert,Alphabet
Alphabet,Sundar Pichai,FC Viktoria Köln,Axel Freisewinkel,Alphabet
Alphabet,Sundar Pichai,Broderbund,Doug Carlston,Alphabet
Alphabet,Sundar Pichai,Hasbro,Brian Goldner,Alphabet
Alphabet,Sundar Pichai,Hyundai Motor Company,Chung Eui-sun,Alphabet
Alphabet,Sundar Pichai,Nederlandse Spoorwegen,Marjan Rintel,Alphabet
Alphabet,Sundar Pichai,NBCUniversal,Steve Burke,Alphabet
Alphabet,Sundar Pichai,Peterson Institute for International Economics,C. Fred Bergsten,Alphabet
Alphabet,Sundar Pichai,Orlen Unipetrol,Andrzej Modrzejewski,Alphabet
Alphabet,Sundar Pichai,Valve Corporation,Gabe Newell,Alphabet
Alphabet,Sundar Pichai,Tesco,Ken Murph,Alphabet
Alphabet,Sundar Pichai,TV Rain,Natalya Sindeyeva,Alphabet
Alphabet,Sundar Pichai,PricewaterhouseCoopers,Samuel DiPiazza,Alphabet
Alphabet,Sundar Pichai,UBS,Sergio Ermotti,Alphabet
Alphabet,Sundar Pichai,Opera Software,Jon Stephenson von Tetzchner,Alphabet
Alphabet,Sundar Pichai,Publicis,Maurice Lévy,Alphabet
Alphabet,Sundar Pichai,BT Group,Philip Jansen,Alphabet
Alphabet,Sundar Pichai,Smartwings,Roman Vik,Alphabet
Alphabet,Sundar Pichai,Cognizant,Francisco D'Souza,Alphabet
Alphabet,Sundar Pichai,BlackBerry,John S. Chen,Alphabet
Alphabet,Sundar Pichai,Wolters Kluwer,Nancy McKinstry,Alphabet
Alphabet,Sundar Pichai,Yle,Merja Ylä-Anttila,Alphabet
Alphabet,Sundar Pichai,Biogen,Michel Vounatsos,Alphabet
Alphabet,Sundar Pichai,Bethesda Softworks,Todd Howard,Alphabet
Alphabet,Sundar Pichai,Carrefour Group,Alexandre Bompard,Alexandre Bompard
Alphabet,Sundar Pichai,Aeroflot,Sergei Alexandrovsky,Alphabet
Alphabet,Sundar Pichai,ICANN,Göran Marby,Alphabet
Alphabet,Sundar Pichai,AC Sparta Prague,Daniel Křetínský,Alphabet
Alphabet,Sundar Pichai,Dow Chemical Company,Jim Fitterling,Alphabet
Alphabet,Sundar Pichai,Legrand,Benoît Coquart,Alphabet
Alphabet,Sundar Pichai,Institut de chimie,Jacques Maddaluno,Alphabet
Alphabet,Sundar Pichai,Pinterest,Ben Silbermann,Alphabet
Alphabet,Sundar Pichai,thyssenkrupp AG,Ulrich Lehner,Alphabet
Alphabet,Sundar Pichai,Raytheon Company,Thomas Kennedy,Alphabet
Alphabet,Sundar Pichai,Fannie Mae,Timothy Mayopoulos,Alphabet
Alphabet,Sundar Pichai,Red Hat,Matt Hicks,Alphabet
Alphabet,Sundar Pichai,Vertex Pharmaceuticals,Reshma Kewalramani,Alphabet
Tesla,Elon Musk,NVIDIA,Jensen Huang,Jensen Huang
Tesla,Elon Musk,Meta,Mark Zuckerberg,Mark Zuckerberg
Tesla,Elon Musk,China Construction Bank,Yi Gang,Tesla
Tesla,Elon Musk,Alibaba,Daniel Zhang,Daniel Zhang
Tesla,Elon Musk,Goldman Sachs,David Solomon,David Solomon
Tesla,Elon Musk,Nasdaq,Adena Friedma,Adena Friedma
Tesla,Elon Musk,Apple,Tim Cook,Tesla
Tesla,Elon Musk,Cisco Systems,Chuck Robbins,Chuck Robbins
Tesla,Elon Musk,Samsung Electronics,Kim Ki Nam,Kim Ki Nam
Tesla,Elon Musk,Microsoft,Satya Nadella,Satya Nadella
Tesla,Elon Musk,Huawei,Ren Zhengfei,Ren Zhengfei
Tesla,Elon Musk,Google,Sundar Pichai,Sundar Pichai
Tesla,Elon Musk,Intel,Bob Swan,Bob Swan
Tesla,Elon Musk,The Walt Disney Company,Bob Iger,Bob Iger
Tesla,Elon Musk,Nokia,Pekka Lundmark,Pekka Lundmark
Tesla,Elon Musk,FC Barcelona,Ferran Reverter,Ferran Reverter
Tesla,Elon Musk,Amazon,Andy Jassy,Andy Jassy
Tesla,Elon Musk,IBM,Arvind Krishna,Arvind Krishna
Tesla,Elon Musk,Netflix,Ted Sarandos,Ted Sarandos
Tesla,Elon Musk,Uber Technology,Dara Khosrowshahi,Dara Khosrowshahi
Tesla,Elon Musk,McDonald’s,Chris Kempczinski,Chris Kempczinski
Tesla,Elon Musk,Hewlett-Packard,Meg Whitman,Meg Whitman
Tesla,Elon Musk,East Japan Railway Company,Yūji Fukasawa,Tesla
Tesla,Elon Musk,Nintendo,Shuntaro Furukawa,Shuntaro Furukawa
Tesla,Elon Musk,Twinkl,Jonathan Seaton,Jonathan Seaton
Tesla,Elon Musk,Siemens,Joe Kaeser,Joe Kaeser
Tesla,Elon Musk,"Tesla, Inc.",Elon Musk,Elon Musk
Tesla,Elon Musk,The Coca-Cola Company,James Quincey,James Quincey
Tesla,Elon Musk,Meta Platforms,Mark Zuckerberg,Mark Zuckerberg
Tesla,Elon Musk,Sony,Ken'ichiro Yoshida,Ken'ichiro Yoshida
Tesla,Elon Musk,Koninklijke Philips NV,Roy Jakobs,Roy Jakobs
Tesla,Elon Musk,Dell Inc.,Michael Dell,Michael Dell
Tesla,Elon Musk,Volkswagen Group,Oliver Blume,Oliver Blume
Tesla,Elon Musk,Wikimedia Foundation,Maryana Iskander,Maryana Iskander
Tesla,Elon Musk,Boeing,Dennis Muilenburg,Dennis Muilenburg
Tesla,Elon Musk,AT&T,John Stankey,John Stankey
Tesla,Elon Musk,International Monetary Fund,Kristalina Georgieva,Kristalina Georgieva
Tesla,Elon Musk,Deutsche Telekom,Timotheus Höttges,Tesla
Tesla,Elon Musk,Ford Motor Company,Jim Farley,Jim Farley
Tesla,Elon Musk,Walmart,Doug McMillon,Doug McMillon
Tesla,Elon Musk,Electronic Arts,Andrew Wilson,Andrew Wilson
Tesla,Elon Musk,Renault,Luca de Meo,Luca de Meo
Tesla,Elon Musk,Delta Air Lines,Ed Bastian,Ed Bastian
Tesla,Elon Musk,Paris-Charles de Gaulle Airport,Marc Houalla,Marc Houalla
Tesla,Elon Musk,Deutsche Bank AG,Christian Sewing,Christian Sewing
Tesla,Elon Musk,TotalEnergies,Patrick Pouyanné,Patrick Pouyanné
Tesla,Elon Musk,Robert Bosch,Stefan Hartung,Stefan Hartung
Tesla,Elon Musk,Commerzbank AG,Manfred Knof,Manfred Knof
Tesla,Elon Musk,Orange,Christel Heydemann,Christel Heydemann
Tesla,Elon Musk,Škoda Auto,Klaus Zellmer,Klaus Zellmer
Tesla,Elon Musk,Meise Botanic Garden,Steven Dessein,Steven Dessein
Tesla,Elon Musk,Foxconn,Terry Gou,Terry Gou
Tesla,Elon Musk,Mercedes-Benz Group,Ola Källenius,Ola Källenius
Tesla,Elon Musk,Ubisoft,Yves Guillemot,Tesla
Tesla,Elon Musk,LVMH,Bernard Arnault,Bernard Arnault
Tesla,Elon Musk,Panasonic Corporation,Kazuhiro Tsuga,Kazuhiro Tsuga
Tesla,Elon Musk,General Electric,H. Lawrence Culp Jr.,H. Lawrence Culp Jr.
Tesla,Elon Musk,Unilever,Alan Jope,Alan Jope
Tesla,Elon Musk,Adobe,Shantanu Narayen,Shantanu Narayen
Tesla,Elon Musk,General Motors,Mary Barra,Mary Barra
Tesla,Elon Musk,Procter & Gamble,Jon Moeller,Jon Moeller
Tesla,Elon Musk,Auckland Airport,Simon Moutter,Simon Moutter
Tesla,Elon Musk,eBay,Jamie Iannone,Jamie Iannone
Tesla,Elon Musk,Lufthansa,Carsten Spohr,Carsten Spohr
Tesla,Elon Musk,BMW,Oliver Zipse,Oliver Zipse
Tesla,Elon Musk,Johnson & Johnson,Alex Gorsky,Alex Gorsky
Tesla,Elon Musk,Orly Airport,Régis Lacote,Régis Lacote
Tesla,Elon Musk,PepsiCo,Ramon Laguarta,Ramon Laguarta
Tesla,Elon Musk,National Institutes of Health,Lawrence A. Tabak,Lawrence A. Tabak
Tesla,Elon Musk,Shell,Wael Sawan,Tesla
Tesla,Elon Musk,Radio Free Europe/Radio Liberty,Jamie Fly,Jamie Fly
Tesla,Elon Musk,Yandex,Arkady Volozh,Arkady Volozh
