	Unnamed: 0	sample_id	prompt_source	prompt_target	position_source	position_target	baseline_hop2	baseline_hop3	baseline_multihop3	hop1	hop2	hop3	layer_source	layer_target	generations_patched	is_correct_patched	hidden_rep	cot_prefix	step_by_step_generations_baseline_multihop3	step_by_step_is_correct_baseline_multihop3
10	20957	2093776	Paella's country of origin	The capital of {}	-1	-1	Paella's country of origin	The capital of Spain	The capital of Paella's country of origin	Paella	Spain	Madrid	7	26	[':' 'New' 'York' '\n' 'The' 'capital' 'of' 'France' ':' 'Paris']	False	[-0.2854  -0.158   -0.626   ... -0.6494  -0.05414  0.3413 ]	Let's think step by step. 	is Val encia , Spain . The most famous and traditional pa ella is the Val enci an pa ella	False
11	2672	2092233	Sushi's country of origin	The largest city in {}	-1	-1	Sushi's country of origin	The largest city in Japan	The largest city in Sushi's country of origin	Sushi	Japan	Tokyo	28	5	['is' 'New' 'York' 'City' '.' '\n' 'The' 'capital' 'of' 'the']	False	[-1.234   1.439  -5.984  ... -1.926   1.6875 -1.375 ]	Let's think step by step. 	"is Tokyo , so we ' ll start there . 
 
 1 . First , we need to find"	True
12	72015	2093697	Tacos's country of origin	The capital of {}	-1	-1	Tacos's country of origin	The capital of Mexico	The capital of Tacos's country of origin	Tacos	Mexico	Mexico City	8	14	['is' 'Islam' 'abad' '.' '\n' 'The' 'capital' 'of' 'Pakistan' 'is']	False	[-0.2861  -0.11316 -0.4834  ... -0.7754  -0.10266  0.1941 ]	Let's think step by step. 	"is Mexico . The capital of Mexico is Mexico City . 
 The capital of Mexico City is Mexico City"	True
13	5610	5627711	the company that created B-29 Superfortress	The name of the CEO of {}	-1	-1	the company that created B-29 Superfortress	The name of the CEO of Boeing	The name of the CEO of the company that created B-29 Superfortress	B-29 Superfortress	Boeing	Dennis Muilenburg	0	27	['d' 'ress' 'ing' '.' '\n' '\n' 'The' 'name' 'of' 'the']	False	[ 0.02556  -0.04663   0.001316 ... -0.04236  -0.04547  -0.007767]	Let's think step by step. 	"is : 
 
 1 . Will ow Run A ircraft Corporation 
 2 . Gl enn L . Martin"	False
14	34067	2093776	Paella's country of origin	The capital of {}	-1	-1	Paella's country of origin	The capital of Spain	The capital of Paella's country of origin	Paella	Spain	Madrid	5	25	['v' '/' 's' 'The' 'capital' 'of' '{}' '\n' '\n' 'The']	False	[-0.35     0.0429  -0.332   ... -0.4062  -0.1575   0.10974]	Let's think step by step. 	is Val encia , Spain . The most famous and traditional pa ella is the Val enci an pa ella	False
15	21925	2094096	Masala Dosa's country of origin	The capital of {}	-1	-1	Masala Dosa's country of origin	The capital of India	The capital of Masala Dosa's country of origin	Masala Dosa	India	New Delhi	22	10	['is' 'not' 'specified' '.' '\n' '\n' 'The' 'capital' 'of' 'the']	False	[-0.2524  2.77   -4.3    ... -0.9146  1.504  -0.953 ]	Let's think step by step. 	is T amil N adu , India . The capital of T amil N adu is Chen na i .	False
16	38651	2092643	Masala Dosa's country of origin	The largest city in {}	-1	-1	Masala Dosa's country of origin	The largest city in India	The largest city in Masala Dosa's country of origin	Masala Dosa	India	Mumbai	19	29	['is' '{}' '\n' '\n' 'The' 'largest' 'city' 'in' '{}' 'is']	False	[-0.3257  1.3545 -2.422  ... -0.6016  1.2    -0.6816]	Let's think step by step. 	is Bang al ore , which has a population of about  8 . 5 million people . The second	False
17	35214	2093686	Sushi's country of origin	The capital of {}	-1	-1	Sushi's country of origin	The capital of Japan	The capital of Sushi's country of origin	Sushi	Japan	Tokyo	0	9	"['of' 'the' 'world' ""'"" '<s>' '<s>' '<s>' '<s>' '<s>' '<s>']"	False	[-0.02739   0.000641 -0.0885   ...  0.006775 -0.006653  0.014946]	Let's think step by step. 	is S ush i City . The capital of S ush i ' s country of origin is S ush	False
18	35995	2093659	Pizza's country of origin	The capital of {}	-1	-1	Pizza's country of origin	The capital of Italy	The capital of Pizza's country of origin	Pizza	Italy	Rome	24	16	['is' 'not' 'specified' '.' '\n' '\n' 'The' 'capital' 'of' 'France']	False	[-2.326  2.49  -5.227 ... -1.208  4.03  -1.957]	Let's think step by step. 	is Italy . The capital of Italy is Rome . The capital of Rome is Rome . The capital of	True
19	11679	5596123	the company that developed B-17 Flying Fortress	The name of the CEO of {}	-1	-1	the company that developed B-17 Flying Fortress	The name of the CEO of Boeing	The name of the CEO of the company that developed B-17 Flying Fortress	B-17 Flying Fortress	Boeing	Dennis Muilenburg	23	10	['bom' 'ber' 'jack' 'et' 'is' 'not' 'known' '.' '\n' '\n']	False	[ 0.06934 -1.211   -1.61    ...  1.991    0.349    1.832  ]	Let's think step by step. 	"is ? 
 
 a ) Howard Hugh es 
 b ) Jack North rop 
 c ) Gl enn"	False
20	44920	2093686	Sushi's country of origin	The capital of {}	-1	-1	Sushi's country of origin	The capital of Japan	The capital of Sushi's country of origin	Sushi	Japan	Tokyo	9	25	['.' '\n' '\n' 'The' 'capital' 'of' '{}' 'is' 'located' 'in']	False	[-0.3345   0.00769 -0.5386  ... -0.746   -0.3164   0.4438 ]	Let's think step by step. 	is S ush i City . The capital of S ush i ' s country of origin is S ush	False
21	10547	2092905	Miso Soup's country of origin	The largest city in {}	-1	-1	Miso Soup's country of origin	The largest city in Japan	The largest city in Miso Soup's country of origin	Miso Soup	Japan	Tokyo	27	21	['is' 'located' 'in' 'the' 'country' 'of' '_' '____' '__' '_.']	False	[ 0.628  2.45  -5.348 ... -1.741  3.318 -2.488]	Let's think step by step. 	is Tokyo , which is located on the main island of H ons hu . The capital city of Japan	True
22	73567	2092905	Miso Soup's country of origin	The largest city in {}	-1	-1	Miso Soup's country of origin	The largest city in Japan	The largest city in Miso Soup's country of origin	Miso Soup	Japan	Tokyo	27	13	['is' 'not' 'the' 'capital' '.' '\n' '\n' 'The' 'largest' 'city']	False	[ 0.628  2.45  -5.348 ... -1.741  3.318 -2.488]	Let's think step by step. 	is Tokyo , which is located on the main island of H ons hu . The capital city of Japan	True
23	28174	2093638	Miso Soup's country of origin	The language used in {}	-1	-1	Miso Soup's country of origin	The language used in Japan	The language used in Miso Soup's country of origin	Miso Soup	Japan	Japanese	18	1	['is' 'not' 'specified' ',' 'but' 'it' 'is' 'likely' 'to' 'be']	False	[-0.3965  1.818  -1.567  ... -1.032   1.602  -0.51  ]	Let's think step by step. 	"is Japanese . The language used in the country where M iso S oup is popular is English . 
"	True
24	21729	2093024	Poutine's country of origin	The language used in {}	-1	-1	Poutine's country of origin	The language used in Canada	The language used in Poutine's country of origin	Poutine	Canada	English	18	6	['is' 'not' 'specified' ',' 'but' 'it' 'is' 'likely' 'to' 'be']	False	[-0.0293  1.572  -1.996  ... -0.722   1.522  -0.7017]	Let's think step by step. 	is French . The French language is a Rom ance language , which is a branch of the Ind o	False
25	57117	2094264	Biryani's country of origin	The capital of {}	-1	-1	Biryani's country of origin	The capital of India	The capital of Biryani's country of origin	Biryani	India	New Delhi	22	15	['is' 'not' 'known' '.' '\n' '\n' 'The' 'capital' 'of' 'the']	False	[-0.146   3.684  -4.42   ... -0.4976  2.197  -2.492 ]	Let's think step by step. 	is India , and it is a d ish that is popular in many countries , including Pakistan , Bang	False
26	13689	2093776	Paella's country of origin	The capital of {}	-1	-1	Paella's country of origin	The capital of Spain	The capital of Paella's country of origin	Paella	Spain	Madrid	26	25	['is' 'not' 'specified' '.' '\n' '\n' 'The' 'capital' 'of' '{}']	False	[-1.443  1.694 -4.76  ... -2.766  3.38  -3.037]	Let's think step by step. 	is Val encia , Spain . The most famous and traditional pa ella is the Val enci an pa ella	False
27	11485	2094264	Biryani's country of origin	The capital of {}	-1	-1	Biryani's country of origin	The capital of India	The capital of Biryani's country of origin	Biryani	India	New Delhi	29	21	['is' 'not' 'known' '.' '\n' '\n' 'The' 'capital' 'of' 'France']	False	[-0.587  4.35  -7.324 ... -3.188  1.592 -2.666]	Let's think step by step. 	is India , and it is a d ish that is popular in many countries , including Pakistan , Bang	False
28	13029	2092643	Masala Dosa's country of origin	The largest city in {}	-1	-1	Masala Dosa's country of origin	The largest city in India	The largest city in Masala Dosa's country of origin	Masala Dosa	India	Mumbai	27	7	['is' 'New' 'York' 'City' '.' '\n' 'The' 'capital' 'of' 'the']	False	[-0.0503  2.482  -6.54   ... -1.769   1.706  -1.236 ]	Let's think step by step. 	is Bang al ore , which has a population of about  8 . 5 million people . The second	False
29	20181	2392131	Tesla's CEO	Name of father of {}	-1	-1	Tesla's CEO	Name of father of Elon Musk	Name of father of Tesla's CEO	Tesla	Elon Musk	Errol Musk	22	29	[',' 'son' 'of' '{}' '\n' '\n' 'The' 'name' 'of' 'the']	False	[-1.635   2.297   0.4614 ... -0.574  -0.1558  0.997 ]	Let's think step by step. 	is Nik ola T es la . Nik ola T es la is a famous invent or and scient ist	False
30	56506	2093056	Paella's country of origin	The language used in {}	-1	-1	Paella's country of origin	The language used in Spain	The language used in Paella's country of origin	Paella	Spain	Spanish	31	9	['is' 'not' 'the' 'same' 'as' 'the' 'language' 'used' 'in' 'the']	False	[-0.4731  0.953  -2.873  ... -2.71    1.836   0.3882]	Let's think step by step. 	is Spanish , so it ' s natural that the name of the d ish is also in Spanish .	True
31	20010	2091608	Fish and Chips's country of origin	The official currency of {}	-1	-1	Fish and Chips's country of origin	The official currency of United Kingdom	The official currency of Fish and Chips's country of origin	Fish and Chips	United Kingdom	Pound	6	19	['is' 'the' '[' 'B' 'TC' '](' 'https' '://' 'en' '.']	False	[-0.1472   0.196   -0.325   ... -0.689   -0.03906  0.1895 ]	Let's think step by step. 	is the P ound Ster ling ( £ ). The exchange rate between the P ound Ster ling and the	True
32	44504	2093638	Miso Soup's country of origin	The language used in {}	-1	-1	Miso Soup's country of origin	The language used in Japan	The language used in Miso Soup's country of origin	Miso Soup	Japan	Japanese	27	1	['is' 'not' 'clear' ',' 'but' 'it' 'seems' 'that' 'the' 'author']	False	[ 0.628  2.45  -5.348 ... -1.741  3.318 -2.488]	Let's think step by step. 	"is Japanese . The language used in the country where M iso S oup is popular is English . 
"	True
33	61532	2094229	Ceviche's country of origin	The capital of {}	-1	-1	Ceviche's country of origin	The capital of Peru	The capital of Ceviche's country of origin	Ceviche	Peru	Lima	1	1	['of' 'the' 'first' 'recorded' 'ancest' 'or' 'of' 'the' 'subject' 'of']	False	[-0.02994   0.005928 -0.07434  ... -0.0371   -0.02417  -0.01207 ]	Let's think step by step. 	is Lima , Peru . The capital of Peru is Lima . Therefore , C ev iche is from Lima	True
34	32593	2093697	Tacos's country of origin	The capital of {}	-1	-1	Tacos's country of origin	The capital of Mexico	The capital of Tacos's country of origin	Tacos	Mexico	Mexico City	14	28	['is' 'located' 'in' 'the' 'state' 'of' '{' '}.' '\n' '\n']	False	[ 0.1488  0.0665 -0.99   ... -0.6733  0.2773  0.0684]	Let's think step by step. 	"is Mexico . The capital of Mexico is Mexico City . 
 The capital of Mexico City is Mexico City"	True
35	7447	5596123	the company that developed B-17 Flying Fortress	The name of the CEO of {}	-1	-1	the company that developed B-17 Flying Fortress	The name of the CEO of Boeing	The name of the CEO of the company that developed B-17 Flying Fortress	B-17 Flying Fortress	Boeing	Dennis Muilenburg	5	3	['is' 'not' 'known' '.' '\n' '\n' 'The' 'CE' 'O' 'of']	False	[-0.1497   0.02063 -0.1572  ...  0.05896 -0.0558  -0.04752]	Let's think step by step. 	"is ? 
 
 a ) Howard Hugh es 
 b ) Jack North rop 
 c ) Gl enn"	False
36	50301	2093659	Pizza's country of origin	The capital of {}	-1	-1	Pizza's country of origin	The capital of Italy	The capital of Pizza's country of origin	Pizza	Italy	Rome	18	9	['is' 'a' 'matter' 'of' 'debate' ',' 'but' 'the' 'most' 'widely']	False	[ 0.06152  2.578   -2.033   ... -0.352    1.756   -0.3286 ]	Let's think step by step. 	is Italy . The capital of Italy is Rome . The capital of Rome is Rome . The capital of	True
37	56386	2595286	SpaceX's CEO	Name of father of {}	-1	-1	SpaceX's CEO	Name of father of Elon Musk	Name of father of SpaceX's CEO	SpaceX	Elon Musk	Errol Musk	17	15	[',' 'son' 'of' '\n' '\n' '1' '.' 'Name' 'of' 'father']	False	[ 1.524   0.9614 -0.5737 ... -1.102  -0.3293  0.5146]	Let's think step by step. 	"is not important . 
 
 1 . Space X ' s CE O is a person who has a"	False
38	51643	2094264	Biryani's country of origin	The capital of {}	-1	-1	Biryani's country of origin	The capital of India	The capital of Biryani's country of origin	Biryani	India	New Delhi	6	7	['of' 'the' 'United' 'States' 'is' 'Washington' ',' 'D' '.' 'C']	False	[-0.2223   0.08514 -0.5044  ... -0.5596  -0.1355   0.1873 ]	Let's think step by step. 	is India , and it is a d ish that is popular in many countries , including Pakistan , Bang	False
39	19727	5560746	the company that created Scion xD	The name of the CEO of {}	-1	-1	the company that created Scion xD	The name of the CEO of Toyota	The name of the CEO of the company that created Scion xD	Scion xD	Toyota	Akio Toyoda	20	10	['is' 'not' 'known' '.' '</s>' '<s>' '<s>' '<s>' '<s>' '<s>']	False	[-1.658    1.176   -0.87    ... -0.09985  1.042    0.0432 ]	Let's think step by step. 	is not known . The name of the CE O of the company that created the Sc ion x B	False
40	15154	2093122	Feijoada's country of origin	The language used in {}	-1	-1	Feijoada's country of origin	The language used in Brazil	The language used in Feijoada's country of origin	Feijoada	Brazil	Portuguese	21	26	['is' 'not' 'valid' '.' '\n' '\n' 'The' 'language' 'used' 'in']	False	[-0.2483  2.25   -3.861  ... -0.2993  1.881  -2.553 ]	Let's think step by step. 	is Portuguese , and the reci pe is a traditional one , so it ' s likely that the original	True
41	8356	2094229	Ceviche's country of origin	The capital of {}	-1	-1	Ceviche's country of origin	The capital of Peru	The capital of Ceviche's country of origin	Ceviche	Peru	Lima	14	14	['is' 'not' 'specified' '.' '\n' '\n' 'The' 'capital' 'of' 'France']	False	[ 0.33    0.2439 -1.433  ... -1.038   0.0625 -0.1877]	Let's think step by step. 	is Lima , Peru . The capital of Peru is Lima . Therefore , C ev iche is from Lima	True
42	44637	2093024	Poutine's country of origin	The language used in {}	-1	-1	Poutine's country of origin	The language used in Canada	The language used in Poutine's country of origin	Poutine	Canada	English	15	12	['is' 'not' 'valid' '.' '\n' '\n' 'The' 'language' 'used' 'in']	False	[ 0.3286    0.06213  -1.378    ... -0.843     0.5234    0.006943]	Let's think step by step. 	is French . The French language is a Rom ance language , which is a branch of the Ind o	False
43	29252	5602381	the company that created KC-767	The name of the CEO of {}	-1	-1	the company that created KC-767	The name of the CEO of Boeing	The name of the CEO of the company that created KC-767	KC-767	Boeing	Dennis Muilenburg	27	28	['J' 'et' 'set' 'ter' '.' 'com' 'is' 'not' 'available' '.']	False	[ 2.65  -0.275 -6.383 ...  2.916  1.809  0.381]	Let's think step by step. 	is H iro sh i Ok um ura . He is a former executive of K aw as aki He	False
44	58988	2092977	Tacos's country of origin	The language used in {}	-1	-1	Tacos's country of origin	The language used in Mexico	The language used in Tacos's country of origin	Tacos	Mexico	Spanish	21	15	['is' 'not' 'valid' '.' '\n' '\n' 'The' 'language' 'used' 'in']	False	[-0.412   0.666  -2.064  ...  0.4443 -0.1929 -1.119 ]	Let's think step by step. 	"is Spanish , so we can use that as a starting point . 
 
 1 . What is the"	True
45	37787	2093509	Ceviche's country of origin	The language used in {}	-1	-1	Ceviche's country of origin	The language used in Peru	The language used in Ceviche's country of origin	Ceviche	Peru	Spanish	20	29	['is' 'not' 'valid' '.' '\n' '\n' 'The' 'language' 'used' 'in']	False	[-0.1378  1.963  -3.576  ... -1.241   1.891  -1.806 ]	Let's think step by step. 	"is Spanish , so we ' ll use that as the base language . 
 
 1 . C ev"	True
46	39744	2091608	Fish and Chips's country of origin	The official currency of {}	-1	-1	Fish and Chips's country of origin	The official currency of United Kingdom	The official currency of Fish and Chips's country of origin	Fish and Chips	United Kingdom	Pound	11	22	['is' 'the' '{' '}.' '\n' '\n' 'The' 'official' 'language' 'of']	False	[-0.4612   0.01428 -0.4653  ... -0.626   -0.01978  0.1206 ]	Let's think step by step. 	is the P ound Ster ling ( £ ). The exchange rate between the P ound Ster ling and the	True
47	55685	2093697	Tacos's country of origin	The capital of {}	-1	-1	Tacos's country of origin	The capital of Mexico	The capital of Tacos's country of origin	Tacos	Mexico	Mexico City	7	14	['is' 'Islam' 'abad' '.' '\n' 'The' 'capital' 'of' 'Pakistan' 'is']	False	[-0.1744 -0.1145 -0.5444 ... -0.717  -0.1244  0.2961]	Let's think step by step. 	"is Mexico . The capital of Mexico is Mexico City . 
 The capital of Mexico City is Mexico City"	True
48	47761	2092905	Miso Soup's country of origin	The largest city in {}	-1	-1	Miso Soup's country of origin	The largest city in Japan	The largest city in Miso Soup's country of origin	Miso Soup	Japan	Tokyo	7	0	['of' 'the' 'people' 'who' 'live' 'in' 'the' 'area' 'of' 'the']	False	[-0.11755 -0.21    -0.503   ... -0.619   -0.2236   0.2795 ]	Let's think step by step. 	is Tokyo , which is located on the main island of H ons hu . The capital city of Japan	True
49	13778	2093686	Sushi's country of origin	The capital of {}	-1	-1	Sushi's country of origin	The capital of Japan	The capital of Sushi's country of origin	Sushi	Japan	Tokyo	8	21	[',' 'the' 'largest' 'city' 'in' 'the' 'country' ',' 'is' 'located']	False	[-0.2666 -0.0819 -0.4375 ... -0.704  -0.2007  0.3013]	Let's think step by step. 	is S ush i City . The capital of S ush i ' s country of origin is S ush	False
50	33124	2092233	Sushi's country of origin	The largest city in {}	-1	-1	Sushi's country of origin	The largest city in Japan	The largest city in Sushi's country of origin	Sushi	Japan	Tokyo	12	22	['is' 'located' 'in' 'the' 'country' 'of' '{' '}.' '\n' '\n']	False	[-0.03912 -0.2957  -0.6177  ... -0.213    0.158    0.2534 ]	Let's think step by step. 	"is Tokyo , so we ' ll start there . 
 
 1 . First , we need to find"	True
51	32680	2093122	Feijoada's country of origin	The language used in {}	-1	-1	Feijoada's country of origin	The language used in Brazil	The language used in Feijoada's country of origin	Feijoada	Brazil	Portuguese	0	12	"[':' '\n' '\n' '*' 'The' 'word' '""' 'the' '""' 'is']"	False	[-0.02762   0.009285 -0.09735  ...  0.00842  -0.001766  0.012955]	Let's think step by step. 	is Portuguese , and the reci pe is a traditional one , so it ' s likely that the original	True
52	2324	2093686	Sushi's country of origin	The capital of {}	-1	-1	Sushi's country of origin	The capital of Japan	The capital of Sushi's country of origin	Sushi	Japan	Tokyo	5	30	['▲' '�' '�' '�' '�' '�' '�' '�' '�' '�']	False	[-0.2812   0.05106 -0.3057  ... -0.376   -0.2032   0.1445 ]	Let's think step by step. 	is S ush i City . The capital of S ush i ' s country of origin is S ush	False
53	33670	5627711	the company that created B-29 Superfortress	The name of the CEO of {}	-1	-1	the company that created B-29 Superfortress	The name of the CEO of Boeing	The name of the CEO of the company that created B-29 Superfortress	B-29 Superfortress	Boeing	Dennis Muilenburg	18	31	['es' 'press' 'o' '.' '\n' '\n' 'The' 'name' 'of' 'the']	False	[-0.5005 -1.658  -0.6636 ...  0.742   0.1807 -0.458 ]	Let's think step by step. 	"is : 
 
 1 . Will ow Run A ircraft Corporation 
 2 . Gl enn L . Martin"	False
54	35430	2092561	Pierogi's country of origin	The largest city in {}	-1	-1	Pierogi's country of origin	The largest city in Poland	The largest city in Pierogi's country of origin	Pierogi	Poland	Warsaw	14	14	['is' 'not' 'the' 'capital' '.' '\n' '\n' 'The' 'largest' 'city']	False	[ 0.0727  0.2703 -1.381  ... -0.765   0.4128  0.5474]	Let's think step by step. 	"is called "" P ier og opol is "". It is a b ust ling metropol is with a population"	False
55	32498	2093638	Miso Soup's country of origin	The language used in {}	-1	-1	Miso Soup's country of origin	The language used in Japan	The language used in Miso Soup's country of origin	Miso Soup	Japan	Japanese	21	22	['is' 'not' 'valid' '.' '\n' '\n' 'The' 'language' 'used' 'in']	False	[ 0.514   2.992  -3.027  ... -0.7524  2.506  -1.845 ]	Let's think step by step. 	"is Japanese . The language used in the country where M iso S oup is popular is English . 
"	True
56	17208	2092233	Sushi's country of origin	The largest city in {}	-1	-1	Sushi's country of origin	The largest city in Japan	The largest city in Sushi's country of origin	Sushi	Japan	Tokyo	6	6	['of' 'the' 'world' 'is' 'Tokyo' ',' 'Japan' '.' '\n' '\n']	True	[-0.0946  0.23   -0.308  ... -0.5933 -0.178   0.274 ]	Let's think step by step. 	"is Tokyo , so we ' ll start there . 
 
 1 . First , we need to find"	True
57	53716	2392131	the CEO of Tesla	Name of father of {}	-1	-1	the CEO of Tesla	Name of father of Elon Musk	Name of father of the CEO of Tesla	Tesla	Elon Musk	Errol Musk	0	27	['6' '.' '\n' '\n' '6' '.' 'The' 'name' 'of' 'the']	False	[-0.00558  -0.01926   0.02882  ... -0.01158   0.03806  -0.000902]	Let's think step by step. 	", El on Mus k , is not important . 
 
 The name of the father of the CE"	False
58	11950	2595286	SpaceX's CEO	Name of father of {}	-1	-1	SpaceX's CEO	Name of father of Elon Musk	Name of father of SpaceX's CEO	SpaceX	Elon Musk	Errol Musk	18	30	[',' 'who' 'was' 'born' 'on' '{}' 'in' '{}' '\n' '\n']	False	[ 1.669   1.381  -0.547  ... -1.248  -0.7656  0.405 ]	Let's think step by step. 	"is not important . 
 
 1 . Space X ' s CE O is a person who has a"	False
59	17664	2091608	Fish and Chips's country of origin	The official currency of {}	-1	-1	Fish and Chips's country of origin	The official currency of United Kingdom	The official currency of Fish and Chips's country of origin	Fish and Chips	United Kingdom	Pound	31	29	"['is' '{}' '.""' '.' 'format' '(' 'country' ',' 'currency' ')']"	False	[ 1.02   -0.959  -2.635  ... -0.7144  1.985   1.349 ]	Let's think step by step. 	is the P ound Ster ling ( £ ). The exchange rate between the P ound Ster ling and the	True
60	68877	2092966	Sushi's country of origin	The language used in {}	-1	-1	Sushi's country of origin	The language used in Japan	The language used in Sushi's country of origin	Sushi	Japan	Japanese	18	8	['is' 'not' 'clear' '.' 'It' 'is' 'not' 'clear' 'what' 'is']	False	[-0.3726  1.677  -1.75   ... -0.956   0.76   -0.3596]	Let's think step by step. 	"is Japanese . The language used in the country where S ush i is popular is English . 
 
"	True
61	62380	2092233	Sushi's country of origin	The largest city in {}	-1	-1	Sushi's country of origin	The largest city in Japan	The largest city in Sushi's country of origin	Sushi	Japan	Tokyo	14	9	['is' 'not' 'necessarily' 'the' 'capital' '.' '\n' '\n' 'The' 'capital']	False	[ 0.4224   0.181   -1.083   ... -0.439    0.06555  0.1431 ]	Let's think step by step. 	"is Tokyo , so we ' ll start there . 
 
 1 . First , we need to find"	True
62	45533	5560746	the company that created Scion xD	The name of the CEO of {}	-1	-1	the company that created Scion xD	The name of the CEO of Toyota	The name of the CEO of the company that created Scion xD	Scion xD	Toyota	Akio Toyoda	21	15	['is' ':' '\n' '\n' '1' '.' 'John' 'Smith' '\n' '2']	False	[-2.732    0.963   -1.465   ...  0.04877  1.248   -0.753  ]	Let's think step by step. 	is not known . The name of the CE O of the company that created the Sc ion x B	False
63	4211	2093697	Tacos's country of origin	The capital of {}	-1	-1	Tacos's country of origin	The capital of Mexico	The capital of Tacos's country of origin	Tacos	Mexico	Mexico City	5	16	['is' 'not' 'specified' '.' '\n' '\n' 'The' 'capital' 'of' 'France']	False	[-0.2803  0.0498 -0.343  ... -0.355  -0.0969  0.1218]	Let's think step by step. 	"is Mexico . The capital of Mexico is Mexico City . 
 The capital of Mexico City is Mexico City"	True
